pour,1729204862541
open,1729204862643
pour,1729204862861
pour,1729204862877
pour,1729204862894
open,1729204862914
open,1729204862928
open,1729204862946
open,1729204862963
pour,1729204862979
pour,1729204862996
open,1729204863009
open,1729204863028
open,1729204863044
open,1729204863061
open,1729204863076
open,1729204863093
pour,1729204863120
pour,1729204863134
pour,1729204863150
pour,1729204863171
open,1729204863183
pour,1729204863196
open,1729204863214
open,1729204863228
open,1729204863244
pour,1729204863261
open,1729204863278
open,1729204863295
open,1729204863311
open,1729204863326
pour,1729204863343
pour,1729204863358
pour,1729204863375
pour,1729204863391
pour,1729204864577
pour,1729204864592
open,1729204864620
open,1729204864631
pour,1729204864662
pour,1729204864680
pour,1729204864695
pour,1729204864709
pour,1729204864724
pour,1729204864741
pour,1729204864758
open,1729204864774
pour,1729204864794
pour,1729204864811
pour,1729204864827
pour,1729204864844
pour,1729204864861
pour,1729204864877
pour,1729204864888
pour,1729204864907
open,1729204864918
open,1729204864936
open,1729204864953
open,1729204864967
open,1729204864984
pour,1729204866120
open,1729204866148
open,1729204866162
open,1729204866174
open,1729204866190
open,1729204866203
open,1729204866220
open,1729204866236
open,1729204866253
open,1729204866270
open,1729204866286
open,1729204866334
open,1729204866354
open,1729204866370
open,1729204866386
open,1729204866403
pour,1729204867603
open,1729204867622
open,1729204867638
open,1729204867655
open,1729204867671
open,1729204867688
open,1729204867704
open,1729204867720
open,1729204867736
open,1729204867753
open,1729204867806
open,1729204867821
open,1729204867838
open,1729204867851
open,1729204868035
pour,1729204868076
pour,1729204868092
pour,1729204868108
pour,1729204868125
open,1729204868140
open,1729204868156
pour,1729204868178
pour,1729204868192
pour,1729204868213
pour,1729204868225
pour,1729204868242
pour,1729204868258
pour,1729204868275
pour,1729204868292
open,1729204868304
open,1729204868322
pour,1729204868339
pour,1729204868358
pour,1729204868374
pour,1729204868388
pour,1729204868406
pour,1729204868421
pour,1729204868438
pour,1729204868452
pour,1729204868470
pour,1729204868486
pour,1729204868837
open,1729204868981
pour,1729204868988
pour,1729204869007
open,1729204869020
open,1729204869038
pour,1729204869055
pour,1729204869071
pour,1729204869097
pour,1729204869115
pour,1729204869128
pour,1729204869147
pour,1729204869164
pour,1729204869179
pour,1729204869198
pour,1729204869212
open,1729204869222
pour,1729204869239
open,1729204869254
open,1729204869271
open,1729204869287
open,1729204869304
